id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,last_fico_range_high,last_fico_range_low,collections_12_mths_ex_med,policy_code,application_type,acc_now_delinq,chargeoff_within_12_mths,delinq_amnt,pub_rec_bankruptcies,tax_liens
642818,822719,2950,2950,2950, 60 months,15.95%,71.66,E,E1,Hercules offshore,< 1 year,MORTGAGE,88200,Not Verified,10-Dec,Does not meet the credit policy. Status:Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=642818,,other,Personnel loan,703xx,LA,21.06,0,1-May,710,714,5,,,8,0,673,4.40%,27,f,0,0,4299.540001,4299.54,2950,1349.54,0,0,0,15-Dec,143.26,16-Jan,16-Jan,814,810,0,1,INDIVIDUAL,0,0,0,0,0
641659,821359,20000,20000,16466.10919, 60 months,19.66%,526.11,G,G1,Walgreens,10+ years,RENT,127000,Verified,10-Dec,Does not meet the credit policy. Status:Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=641659,,debt_consolidation,ex payoff loan,636xx,MO,13.39,1,Dec-92,665,669,5,19,,6,0,16641,80.80%,39,f,0,0,16276.99,8908.75,8375.22,7224.62,0,677.15,6.77,13-Apr,526.11,13-Sep,16-Oct,634,630,0,1,INDIVIDUAL,0,0,0,0,0
641638,821336,3500,3500,3500, 60 months,15.57%,84.32,D,D5,deans excavatings inc.,10+ years,MORTGAGE,66500,Not Verified,10-Dec,Does not meet the credit policy. Status:Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=641638,  Borrower added on 12/29/10 > job is very stable and i have a very good credit record.<br/>,car,auto loan,493xx,MI,11.62,0,Feb-90,695,699,7,48,,10,0,30191,78%,28,f,0,0,5058.80554,5058.81,3500,1558.81,0,0,0,16-Jan,83.92,16-Feb,16-Jan,744,740,0,1,INDIVIDUAL,0,0,0,0,0
641193,820773,5000,5000,5000, 36 months,15.20%,173.82,D,D4,seymour board of education,5 years,RENT,42000,Not Verified,10-Dec,Does not meet the credit policy. Status:Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=641193,,debt_consolidation,personal loan,064xx,CT,15.71,0,5-Oct,665,669,5,,,4,0,1191,85.10%,5,f,0,0,6258.042641,6258.04,5000,1258.04,0,0,0,14-Jan,194.4,14-Feb,14-Jan,554,550,0,1,INDIVIDUAL,0,0,0,0,0
641066,820620,2500,2500,2500, 60 months,14.83%,59.26,D,D3,FERGUSON ENTERPRISES,6 years,MORTGAGE,66720,Source Verified,10-Dec,Does not meet the credit policy. Status:Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=641066,  Borrower added on 12/29/10 > I HOPE TO HAVE THE LOAN PAID OFF IN FULL BY THE END OF FEBRUARY.  MY JOB IS VERY STABLE AS THEY JUST MOVED ME.<br/>,moving,GETOUTOFJAIL,287xx,NC,18.49,0,2-Dec,675,679,4,,,8,0,597,6.90%,32,f,0,0,3400.788987,3400.79,2500,900.79,0,0,0,14-Apr,1152.7,14-May,16-Nov,714,710,0,1,INDIVIDUAL,0,0,0,0,0
640893,820421,5000,5000,5000, 36 months,15.57%,174.73,D,D5,SRA International Inc.,7 years,MORTGAGE,160000,Not Verified,10-Dec,Does not meet the credit policy. Status:Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=640893,,renewable_energy,PHEV Conversion Loan,194xx,PA,15.77,0,Mar-78,665,669,6,77,,17,0,11667,90.40%,46,f,0,0,4368.25,4368.25,3213.83,1146.42,0,8,0,13-Feb,174.73,13-Jun,16-Nov,599,595,0,1,INDIVIDUAL,0,0,0,0,0
640342,819710,15000,15000,15000, 60 months,16.32%,367.33,E,E2,Oregon Health and Sciences University,4 years,MORTGAGE,90000,Verified,10-Dec,Does not meet the credit policy. Status:Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=640342,,debt_consolidation,Mazda Loan,986xx,WA,4.55,0,5-May,695,699,5,,,7,0,13886,78.40%,10,f,0,0,17469.802,17469.8,15000,2469.8,0,0,0,12-Feb,13067.86,12-Mar,12-Feb,719,715,0,1,INDIVIDUAL,0,0,0,0,0
640360,819728,10000,10000,10000, 36 months,14.83%,345.83,D,D3,Union Bank,5 years,RENT,56000,Verified,10-Dec,Does not meet the credit policy. Status:Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=640360,,debt_consolidation,Debt Consolidator,906xx,CA,21.11,2,3-Apr,660,664,4,5,,16,0,9216,45.60%,30,f,0,0,11312.04481,11312.04,10000,1312.04,0,0,0,12-Mar,323.91,12-Apr,13-Mar,694,690,0,1,INDIVIDUAL,0,0,0,0,0
639672,818944,3000,3000,2500, 36 months,12.23%,99.98,C,C1,SimplexGrinnell,10+ years,MORTGAGE,52000,Not Verified,10-Dec,Does not meet the credit policy. Status:Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=639672,  Borrower added on 12/26/10 > This loan is for vehicle repairs.<br/>,debt_consolidation,Car repairs,300xx,GA,18.44,0,Dec-99,680,684,4,,,10,0,13760,77.70%,14,f,0,0,3555.03957,2962.53,3000,555.04,0,0,0,13-Apr,960.58,13-May,12-Jun,729,725,0,1,INDIVIDUAL,0,0,0,0,0
639512,818731,5000,5000,4925, 36 months,14.09%,171.11,D,D1,kaiser permanente,3 years,RENT,84000,Verified,10-Dec,Does not meet the credit policy. Status:Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=639512,  Borrower added on 12/25/10 > furniture purchase<br/> Borrower added on 12/25/10 > email verified<br/>,major_purchase,furniture,916xx,CA,19.91,0,5-Nov,695,699,5,,,3,0,13157,91.40%,9,f,0,0,6160.132875,6067.73,5000,1160.13,0,0,0,14-Jan,176.3,14-Feb,15-Mar,594,590,0,1,INDIVIDUAL,0,0,0,0,0
639485,818698,7200,7200,7125, 60 months,16.69%,177.75,E,E3,glenbard wastewater authority,10+ years,MORTGAGE,86000,Not Verified,10-Dec,Does not meet the credit policy. Status:Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=639485,,debt_consolidation,2010 consolidation,601xx,IL,22.42,0,Jul-91,695,699,7,,116,23,1,21192,32.50%,62,f,0,0,5225.8,5171.48,1187.84,1295.2,0,2742.76,222.3882,12-Mar,177.75,12-Aug,16-Oct,574,570,0,1,INDIVIDUAL,0,0,0,1,0
604511,775540,11850,11850,11850, 36 months,15.57%,414.1,D,D5,State of California,4 years,RENT,70380,Not Verified,10-Dec,Does not meet the credit policy. Status:Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=604511,,debt_consolidation,Debt Consolidation,958xx,CA,24.38,0,1-May,670,674,6,,,11,0,21809,92.50%,28,f,0,0,14845.79507,14845.8,11850,2954.38,41.41999984,0,0,13-Jul,2810.5,13-Aug,16-Oct,684,680,0,1,INDIVIDUAL,0,0,0,0,0
637481,816594,15000,15000,14475, 36 months,14.83%,518.74,D,D3,,9 years,MORTGAGE,150000,Source Verified,10-Dec,Does not meet the credit policy. Status:Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=637481,  Borrower added on 12/24/10 > This is going to be used to complete several projects in our home. I am looking forward to bringing our home up to date (bathrooms especially). My employer is extremely solid and has been in business for over 60 years. We have shown growth even in tough times. I have been on an upward track in sales/salary for the last 8 years.<br/>,debt_consolidation,Debt Consolidation Loan,080xx,NJ,14.9,0,Mar-98,690,694,6,,,14,0,10976,68.60%,22,f,0,0,18675.19183,18021.56,15000,3675.19,0,0,0,14-Jan,558.47,14-Feb,16-Nov,679,675,0,1,INDIVIDUAL,0,0,0,0,0
637432,816532,10925,10925,10925, 60 months,15.95%,265.39,E,E1,SIS,3 years,MORTGAGE,200000,Verified,10-Dec,Does not meet the credit policy. Status:Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=637432,,medical,Coder Medical,980xx,WA,5.61,0,5-Sep,690,694,5,,,3,0,25212,30.19%,18,f,0,0,13044.27837,13044.28,10925,2119.28,0,0,0,12-May,9072.03,12-Jun,12-May,619,615,0,1,INDIVIDUAL,0,0,0,0,0
637408,816507,8000,8000,7500, 36 months,12.23%,266.6,C,C1,Airtight Design,1 year,RENT,61000,Not Verified,10-Dec,Does not meet the credit policy. Status:Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=637408,,credit_card,High Interest Credit Card Refinancing,302xx,GA,23.08,0,1-May,690,694,5,,,7,0,9433,76.30%,13,f,0,0,9628.026219,9026.27,8000,1598.03,30,0,0,14-Jan,281.58,14-Feb,14-Jan,599,595,0,1,INDIVIDUAL,0,0,0,0,0
637278,816354,8500,8500,8500, 36 months,12.61%,284.81,C,C2,St. Francis Hospital,3 years,RENT,25000,Not Verified,10-Dec,Does not meet the credit policy. Status:Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=637278,  Borrower added on 12/21/10 > Unsure what was delinquent and am trying to consolidate my debt<br/>,debt_consolidation,HCFCU and CARD,126xx,NY,18.38,0,Nov-00,680,684,4,25,,12,0,6420,30.90%,32,f,0,0,10235.84895,10235.85,8500,1735.85,0,0,0,13-Oct,1146.01,13-Nov,16-Nov,659,655,0,1,INDIVIDUAL,0,0,0,0,0
637154,816196,7000,7000,7000, 60 months,14.83%,165.91,D,D3,U.S. Postal Service,10+ years,MORTGAGE,54257,Verified,10-Dec,Does not meet the credit policy. Status:Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=637154,,home_improvement,""Good Loan"""Good Loan"""",106xx,NY,11.06,0,May-99,675,679,5,,,7,0,10627,36.80%,26,f,0,0,9954.204812,9954.2,7000,2954.2,0,0,0,16-Jan,165.51,16-Feb,16-Jul,674,670,0,1,INDIVIDUAL,0,0,0,0,0
636399,815269,10000,10000,9955.41, 36 months,13.72%,340.42,C,C5,SPRING HEATING  and  AC,10+ years,RENT,96000,Verified,10-Dec,Does not meet the credit policy. Status:Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=636399,"  Borrower added on 12/21/10 > This money will be used for the home improvement cost of my newly purchased home which was closed escrow last Friday, 12/17/2010. The house is a good buy although it has some TLC needed. I have used my money towards downpayment and closing cost and got short to finance some renovation. My son and i are hoping to make some home improvement before we move-in.<br/>",home_improvement,10K,914xx,CA,16.66,0,Apr-00,675,679,5,36,,13,0,2280,13.90%,25,f,0,0,3111.39,3106.03,1081.92,958.13,0,1071.34,294.7634,11-Oct,171.22,12-Feb,16-Oct,549,545,0,1,INDIVIDUAL,0,0,0,0,0
